"Country,Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical"
179.0,Grenada,,,,84
180.0,Bermuda,,,,15
181.0,Nicaragua,,,,"14,041"
182.0,South Sudan,,,,115
183.0,Tajikistan,,,,397
184.0,Equatorial Guinea,,,,146
185.0,Tonga,,,,"1,144"
186.0,Samoa,,,,"14,475"
187.0,Monaco,,,,36
188.0,Dominica,,,,13
189.0,Djibouti,,,,74
190.0,Marshall Islands,,,,45
191.0,CAR,,,,55
192.0,Gambia,,,,25
193.0,Saint Martin,,,,"10,785"
194.0,Vanuatu,,,,24
195.0,Greenland,,,,"9,189"
196.0,Yemen,,,,662
197.0,Caribbean Netherlands,,,,"1,152"
198.0,Sint Maarten,,,,20
200.0,Niger,,,,729
201.0,St. Vincent Grenadines,,,,3
202.0,Antigua and Barbuda,,,,6
203.0,Comoros,,,,4
204.0,Guinea-Bissau,,,,115
205.0,Liberia,,,,3
206.0,Sierra Leone,,,,
207.0,Chad,,,,"2,584"
208.0,British Virgin Islands,,,,
209.0,Cook Islands,,,,8
210.0,Saint Kitts and Nevis,,,,4
211.0,Turks and Caicos,,,,25
212.0,Sao Tome and Principe,,,,1
213.0,Palau,,,,2
214.0,St. Barth,,,,
215.0,Kiribati,,,,"2,287"
216.0,Nauru,,,,205
217.0,Anguilla,,,,13
218.0,Macao,,,,11
219.0,Saint Pierre Miquelon,,,,"1,001"
220.0,Wallis and Futuna,,,,"2,982"
221.0,Tuvalu,,,,"2,805"
222.0,Saint Helena,,,,"2,164"
224.0,Montserrat,,,,19
230.0,Tokelau,,,,5
231.0,China,,,,"118,977"
,Total:,"+60,338",283.0,"+68,630","20,777,797"
