Date,Open_Eth,High_Eth,Low_Eth,Close_Eth,Adj.Close_Eth,Volume_Eth,Open_sp,High_sp,Low_sp,Close_sp,Adj.Close_sp,Volume_sp
2017-09-11,308.644989,329.451996,307.056,320.884003,320.884003,893249984,2474.52,2488.95,2474.52,2488.11,2488.11,3291760000.0
2017-10-11,320.67099,324.717987,294.541992,299.252991,299.252991,885985984,2550.62,2555.24,2547.95,2555.24,2555.24,2976090000.0
2017-12-11,314.690002,319.153015,298.513,307.90799,307.90799,1613479936,2652.19,2660.33,2651.47,2659.99,2659.99,3091950000.0
2017-11-13,307.024994,328.415009,307.024994,316.716003,316.716003,1041889984,2576.53,2587.66,2574.48,2584.84,2584.84,3402930000.0
2017-11-14,316.763,340.177002,316.763,337.631012,337.631012,1069680000,2577.75,2579.66,2566.56,2578.87,2578.87,3641760000.0
2017-11-15,337.963989,340.911987,329.812988,333.356995,333.356995,722665984,2569.45,2572.84,2557.45,2564.62,2564.62,3558890000.0
2017-11-16,333.442993,336.158997,323.605988,330.924011,330.924011,797254016,2572.95,2590.09,2572.95,2585.64,2585.64,3312710000.0
2017-11-17,330.166992,334.963989,327.52301,332.394012,332.394012,621732992,2582.94,2583.96,2577.62,2578.85,2578.85,3300160000.0
2017-11-20,354.093994,372.136993,353.289001,366.730011,366.730011,807027008,2579.49,2584.64,2578.24,2582.14,2582.14,3003540000.0
2017-11-21,367.442993,372.470001,350.692993,360.401001,360.401001,949912000,2589.17,2601.19,2589.17,2599.03,2599.03,3332720000.0
2017-11-22,360.312012,381.420013,360.147003,380.652008,380.652008,800819008,2600.31,2600.94,2595.23,2597.08,2597.08,2762950000.0
2017-11-24,412.501007,480.972992,402.757996,474.911011,474.911011,2292829952,2600.42,2604.21,2600.42,2602.42,2602.42,1349780000.0
2017-11-27,471.531006,493.404999,468.484985,480.355011,480.355011,1396480000,2602.66,2606.41,2598.87,2601.42,2601.42,3006860000.0
2017-11-28,480.518005,482.480011,466.346985,472.902008,472.902008,1346499968,2605.94,2627.69,2605.44,2627.04,2627.04,3488420000.0
2017-11-29,473.281006,522.307007,425.071014,427.52301,427.52301,2675940096,2627.82,2634.89,2620.32,2626.07,2626.07,4078280000.0
2017-11-30,431.214996,465.497009,401.243011,447.114014,447.114014,1903040000,2633.93,2657.74,2633.93,2647.58,2647.58,4938490000.0
2017-09-12,457.343994,504.147003,456.252991,473.502014,473.502014,2003849984,2491.94,2496.77,2490.37,2496.48,2496.48,3230920000.0
2017-10-12,472.789001,472.789001,429.514008,441.721008,441.721008,1404179968,2552.88,2555.33,2548.31,2550.93,2550.93,3151510000.0
2017-12-12,522.286011,657.317993,504.493988,651.43103,651.43103,5179829760,2661.73,2669.72,2659.78,2664.11,2664.11,3555680000.0
2017-12-13,644.906006,747.992981,597.797974,702.767029,702.767029,4524539904,2667.59,2671.88,2662.85,2662.85,2662.85,3542370000.0
2017-12-14,700.593994,753.120972,664.989014,695.815979,695.815979,3821580032,2665.87,2668.09,2652.01,2652.01,2652.01,3430030000.0
